City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ribeira Grande,PT,2021-10-04 18:13:38,38.5167,-28.7,73.8,83,40,8.05
68,Yerbogachen,RU,2021-10-04 18:12:11,61.2767,108.0108,28.26,83,52,4.76
69,Leningradskiy,RU,2021-10-04 18:13:42,69.3833,178.4167,18.72,93,100,3.44
70,Shingu,JP,2021-10-04 18:13:42,33.7333,135.9833,66.69,90,7,5.14
71,Tahta,EG,2021-10-04 18:13:42,26.7693,31.5021,81.36,29,0,15.08
72,Port Hedland,AU,2021-10-04 18:13:43,-20.3167,118.5667,64.45,94,0,8.05
73,Iqaluit,CA,2021-10-04 18:13:44,63.7506,-68.5145,38.7,60,88,3.0
74,Georgetown,MY,2021-10-04 18:11:34,5.4112,100.3354,79.9,89,40,2.3
75,Tazovskiy,RU,2021-10-04 18:13:44,67.4667,78.7,32.56,98,100,16.91
76,Sabha,LY,2021-10-04 18:13:45,27.0377,14.4283,82.69,23,0,9.06
77,Ulaanbaatar,MN,2021-10-04 18:10:40,47.9077,106.8832,32.13,64,40,0.0
78,Archidona,ES,2021-10-04 18:13:45,37.0965,-4.3887,67.82,35,9,5.35
79,Ostrovnoy,RU,2021-10-04 18:13:46,68.0531,39.5131,46.89,76,76,31.92
80,Bluff,NZ,2021-10-04 18:13:46,-46.6,168.3333,44.8,83,34,9.57
81,Tura,IN,2021-10-04 18:13:47,25.5198,90.2201,72.03,98,73,4.14
82,Dong Hoi,VN,2021-10-04 18:13:47,17.4833,106.6,78.22,86,82,0.63
83,Provideniya,RU,2021-10-04 18:13:47,64.3833,-173.3,37.42,98,100,14.18
84,Salinas,US,2021-10-04 18:13:48,36.6777,-121.6555,88.97,45,1,6.91
85,North Bend,US,2021-10-04 18:10:00,43.4065,-124.2243,59.23,93,20,0.0
86,Howard Springs,AU,2021-10-04 18:13:48,-12.497,131.047,82.31,88,61,5.48
87,Victoria,HK,2021-10-04 18:09:07,22.2855,114.1577,86.32,79,4,8.01
88,Vaini,TO,2021-10-04 18:13:50,-21.2,-175.2,75.36,94,75,8.05
89,Lebu,CL,2021-10-04 18:13:50,-37.6167,-73.65,52.84,66,36,20.78
90,Atuona,PF,2021-10-04 18:13:50,-9.8,-139.0333,77.81,75,41,19.98
91,Puerto Ayora,EC,2021-10-04 18:13:51,-0.7393,-90.3518,72.55,82,51,5.01
92,Qaanaaq,GL,2021-10-04 18:13:52,77.484,-69.3632,26.67,73,100,5.57
93,Coihaique,CL,2021-10-04 18:13:52,-45.5752,-72.0662,52.41,58,75,3.44
94,Chapais,CA,2021-10-04 18:13:53,49.7834,-74.8492,57.43,44,24,4.65
95,Lorengau,PG,2021-10-04 18:13:53,-2.0226,147.2712,78.8,77,90,2.01
96,Kruisfontein,ZA,2021-10-04 18:13:53,-34.0033,24.7314,52.88,77,24,4.14
97,Kenora,CA,2021-10-04 18:13:54,49.8167,-94.4337,64.78,63,15,3.0
98,Carutapera,BR,2021-10-04 18:13:54,-1.195,-46.02,87.31,59,96,10.98
99,Caconda,AO,2021-10-04 18:13:55,-13.7333,15.0667,73.09,23,44,4.03
100,Hualmay,PE,2021-10-04 18:13:55,-11.0964,-77.6139,67.78,68,31,11.56
101,Puerto Narino,CO,2021-10-04 18:13:55,-3.7703,-70.3831,89.55,48,100,2.75
102,Aktash,RU,2021-10-04 18:12:10,50.3,87.7333,17.46,76,83,4.88
103,Maraba,BR,2021-10-04 18:13:56,-5.3686,-49.1178,95.18,49,20,5.75
104,Vestmanna,FO,2021-10-04 18:13:56,62.1564,-7.1664,45.52,100,90,21.85
105,Longyearbyen,SJ,2021-10-04 18:13:56,78.2186,15.6401,39.04,81,75,16.11
106,Havelock,US,2021-10-04 18:13:57,34.8791,-76.9013,81.99,81,94,3.0
107,Ornes,NO,2021-10-04 18:13:57,66.8689,13.7078,58.03,72,51,9.4
108,Alta Floresta,BR,2021-10-04 18:13:58,-9.8756,-56.0861,96.44,33,89,3.96
109,Delijan,IR,2021-10-04 18:13:58,33.9905,50.6838,75.81,17,4,7.27
110,Cabo San Lucas,MX,2021-10-04 18:10:17,22.8909,-109.9124,92.52,65,1,4.0
111,Vao,NC,2021-10-04 18:13:59,-22.6667,167.4833,69.8,84,0,13.06
112,Chifeng,CN,2021-10-04 18:13:59,42.2683,118.9636,50.16,53,100,3.02
113,Tuktoyaktuk,CA,2021-10-04 18:14:00,69.4541,-133.0374,30.2,86,75,9.22
114,Avarua,CK,2021-10-04 18:14:00,-21.2078,-159.775,73.45,78,20,6.91
115,Ambilobe,MG,2021-10-04 18:14:00,-13.2,49.05,74.61,73,90,3.6
116,Kadayanallur,IN,2021-10-04 18:14:03,9.0833,77.35,76.48,93,100,3.62
117,Bajil,YE,2021-10-04 18:14:03,15.0584,43.2851,90.3,56,95,5.14
118,Jishou,CN,2021-10-04 18:14:04,28.3167,109.7167,78.75,70,72,0.22
119,Santa Rosa,PH,2021-10-04 18:12:57,14.3122,121.1114,80.91,89,100,11.01
120,Katiola,CI,2021-10-04 18:14:05,8.1333,-5.1,79.63,75,63,3.89
121,Kargasok,RU,2021-10-04 18:14:05,59.0556,80.8572,29.12,89,30,5.08
122,Antalaha,MG,2021-10-04 18:14:06,-14.9003,50.2788,70.48,89,55,5.88
123,Para De Minas,BR,2021-10-04 18:14:06,-19.8603,-44.6083,91.29,27,54,4.52
124,Hadgaon,IN,2021-10-04 18:14:06,19.5,77.6667,80.19,77,100,3.0
125,Carnarvon,AU,2021-10-04 18:14:08,-24.8667,113.6333,62.67,67,0,14.97
126,Ponta Do Sol,PT,2021-10-04 18:14:08,32.6667,-17.1,75.13,58,61,5.7
127,Zhangye,CN,2021-10-04 18:14:08,38.9342,100.4517,52.65,42,85,3.04
128,Mbandaka,CD,2021-10-04 18:14:09,0.0487,18.2603,71.49,98,50,4.12
129,Touros,BR,2021-10-04 18:14:09,-5.1989,-35.4608,86.9,63,3,17.81
130,Quelimane,MZ,2021-10-04 18:14:10,-17.8786,36.8883,76.95,83,20,8.05
131,Nyurba,RU,2021-10-04 18:14:10,63.2842,118.3319,33.82,84,100,6.62
132,Katsuura,JP,2021-10-04 18:14:11,35.1333,140.3,76.19,75,12,13.04
133,Bethel,US,2021-10-04 18:10:10,41.3712,-73.414,67.05,93,90,1.99
134,Camopi,GF,2021-10-04 18:14:11,3.1655,-52.3158,86.58,58,89,6.13
135,Butembo,CD,2021-10-04 18:14:11,0.15,29.2833,57.24,99,83,0.2
136,Rio Grande,BR,2021-10-04 18:14:12,-32.035,-52.0986,66.31,52,2,11.59
137,Katangli,RU,2021-10-04 18:14:12,51.7102,143.2326,35.98,82,41,13.49
138,Kavieng,PG,2021-10-04 18:14:13,-2.5744,150.7967,80.73,76,96,1.12
139,Hithadhoo,MV,2021-10-04 18:14:13,-0.6,73.0833,84.24,75,8,18.39
