City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Mogadouro,PT,41.3403,-6.7119,59.97,50,100,2.26,overcast clouds
79,Poum,NC,-20.2333,164.0167,73.18,67,10,6.13,clear sky
80,Saint Anthony,US,45.0205,-93.218,69.69,83,1,1.01,clear sky
81,Nikolskoye,RU,59.7035,30.7861,50.02,68,100,6.89,overcast clouds
82,Flin Flon,CA,54.7682,-101.865,45.59,43,0,5.46,clear sky
83,Manaure,CO,11.7751,-72.4445,84.76,70,6,17.92,clear sky
84,Terme,TR,41.2092,36.9739,58.96,84,100,4.03,overcast clouds
85,Barrow,US,71.2906,-156.7887,30.22,86,90,14.97,light snow
86,Tripoli,LY,32.8752,13.1875,72.23,58,0,5.7,clear sky
87,Lebu,CL,-37.6167,-73.65,49.93,93,6,8.08,clear sky
88,Isangel,VU,-19.55,169.2667,78.91,69,75,9.22,broken clouds
89,Laguna,US,38.421,-121.4238,70.05,41,1,5.99,clear sky
90,Zhigansk,RU,66.7697,123.3711,27.64,95,100,25.34,snow
91,Agua Dulce,MX,18.1333,-94.1333,82.18,89,97,7.56,overcast clouds
92,Bluff,NZ,-46.6,168.3333,54.81,58,7,10.96,clear sky
93,Arona,ES,28.0996,-16.681,65.32,72,20,6.91,few clouds
94,Tongzi,CN,28.7829,105.0877,65.8,88,100,4.14,overcast clouds
95,Port Alfred,ZA,-33.5906,26.891,62.49,73,100,14.12,overcast clouds
96,Hilo,US,19.7297,-155.09,82.13,77,90,16.11,light rain
97,Davila,PH,18.4726,120.5763,80.58,72,100,7.92,overcast clouds
98,Chuy,UY,-33.6971,-53.4616,52.66,74,98,7.76,overcast clouds
99,Pine Hill,US,39.7843,-74.9921,70.56,86,55,4.94,broken clouds
100,Awjilah,LY,29.1081,21.2869,74.79,27,0,10.27,clear sky
101,Bogalusa,US,30.791,-89.8487,78.55,83,1,0.0,clear sky
102,Ilula,TZ,-7.6766,36.0366,60.06,86,2,4.9,clear sky
103,Bukama,CD,-9.2,25.85,73.4,39,3,2.3,clear sky
104,Port Lincoln,AU,-34.7333,135.8667,60.66,60,94,13.85,overcast clouds
105,Stettler,CA,52.3168,-112.7186,53.44,24,2,6.91,clear sky
106,Snasa,NO,64.2457,12.3778,51.44,96,88,3.4,overcast clouds
107,Asau,RO,46.4333,26.4,43.72,61,100,5.37,overcast clouds
108,Ashqelon,IL,31.6693,34.5715,73.4,63,0,8.61,clear sky
109,Tilichiki,RU,60.4667,166.1,32.67,50,98,8.75,overcast clouds
110,Castro,BR,-24.7911,-50.0119,57.04,93,100,10.18,overcast clouds
111,Portland,US,45.5234,-122.6762,61.45,62,75,3.44,broken clouds
112,Magistralnyy,RU,56.1725,107.4458,35.15,81,99,6.46,overcast clouds
113,Clyde River,CA,70.4692,-68.5914,32.23,100,90,10.36,overcast clouds
114,Avarua,CK,-21.2078,-159.775,77.05,69,90,4.61,overcast clouds
115,Avera,US,33.194,-82.5271,73.27,89,3,1.72,clear sky
116,Nicoya,CR,10.1483,-85.452,72.95,93,100,1.72,overcast clouds
117,Atchison,US,39.563,-95.1216,79.03,65,91,4.18,overcast clouds
118,Lata,PT,40.1629,-8.3327,62.08,90,80,1.66,broken clouds
119,Nome,US,64.5011,-165.4064,41.07,75,90,16.11,overcast clouds
120,Santa Rosa,PH,14.3122,121.1114,84.18,74,99,4.92,overcast clouds
121,Norman Wells,CA,65.282,-126.8329,37.44,81,75,5.75,broken clouds
122,Cidreira,BR,-30.1811,-50.2056,63.79,76,100,16.11,overcast clouds
123,Tarata,BO,-17.6167,-66.0167,65.62,62,10,6.13,clear sky
124,Nyurba,RU,63.2842,118.3319,36.25,71,100,10.67,overcast clouds
125,Mogzon,RU,51.7435,111.9606,33.46,66,100,8.05,overcast clouds
126,Burnie,AU,-41.0667,145.9167,60.94,70,91,13.35,overcast clouds
127,Urmary,RU,55.6789,47.944,39.18,83,3,6.53,clear sky
128,Owando,CG,-0.4819,15.8999,72.52,93,98,2.48,overcast clouds
129,Georgetown,MY,5.4112,100.3354,80.89,91,20,3.0,few clouds
130,Campanha,BR,-21.8361,-45.4006,64.15,82,28,6.44,scattered clouds
131,Hualmay,PE,-11.0964,-77.6139,63.37,88,42,11.99,scattered clouds
132,Omboue,GA,-1.5746,9.2618,76.98,90,100,9.51,light rain
133,Longyearbyen,SJ,78.2186,15.6401,17.44,73,0,10.36,clear sky
134,Sola,VU,-13.8833,167.55,83.07,84,75,0.0,broken clouds
135,Loding,NO,67.3,14.75,50.65,93,75,4.0,broken clouds
136,Kita,ML,13.0349,-9.4895,78.49,74,100,3.02,overcast clouds
137,Upernavik,GL,72.7868,-56.1549,25.59,60,21,8.41,few clouds
138,Vanavara,RU,60.34,102.2797,35.56,96,100,14.18,light rain
139,Gushikawa,JP,26.3544,127.8686,82.4,85,20,13.8,mist
140,Nanortalik,GL,60.1432,-45.2371,37.15,63,0,6.13,clear sky
141,Tautira,PF,-17.7333,-149.15,82.42,72,45,0.92,scattered clouds
142,Kaitangata,NZ,-46.2817,169.8464,50.95,90,100,6.22,overcast clouds
143,Karratha,AU,-20.7377,116.8463,84.63,20,0,8.97,clear sky
144,Marsa Matruh,EG,31.3525,27.2453,64.6,77,0,0.0,clear sky
145,Yellowknife,CA,62.456,-114.3525,42.42,84,75,6.91,broken clouds
146,Saint George,US,37.1041,-113.5841,63.63,86,20,1.99,few clouds
147,Camacha,PT,33.0833,-16.3333,68.76,73,40,10.36,scattered clouds
